Date,Open,High,Low,Close,Volume
2009-02-28,21.9542,24.3146,19.6851,20.5448,427060419.37006
2009-03-31,20.1701,25.8902,18.1441,24.9588,413315837.88069
2009-04-30,24.6244,30.3161,24.1711,29.9443,351422351.30218
2009-05-31,29.3071,32.5871,27.8583,28.5222,314540581.27319
2009-06-30,28.9372,30.7882,27.335,28.647,287009954.07948
2009-07-31,28.7719,32.2527,26.39,31.6606,242960471.0687
2009-08-31,31.8976,34.6121,29.9119,34.1115,277470099.80435
2009-09-30,33.9099,35.7098,33.1516,33.8824,208346080.14344
2009-10-31,33.7634,37.5725,33.191,35.1471,222389240.38044
2009-11-30,35.2907,37.0297,33.3798,33.7919,234360351.00059
2009-12-31,34.1716,35.9419,32.7424,35.1089,223934902.5964
2010-01-31,35.1786,38.0742,35.0282,37.2146,214666039.50251
2010-02-28,37.4151,37.4713,35.0045,37.3935,195689647.31872
2010-03-31,37.5725,39.7245,37.3492,38.1764,131935213.50368
2010-04-30,38.2915,42.4744,38.2148,41.2755,153005271.47876
2010-05-31,41.3424,41.8223,37.6197,39.576,228049980.64158
2010-06-30,39.3891,40.2005,35.0045,35.688,198416253.20301
2010-07-31,35.5553,38.4607,35.0577,37.249,177034913.16498
2010-08-31,37.4466,38.978,36.0097,37.3139,183570362.1947
2010-09-30,37.6798,40.3185,37.6512,38.978,136248364.23604
2010-10-31,39.2249,40.1759,37.6709,37.8863,154507897.5792
2010-11-30,38.2088,41.902,37.8764,41.5283,170541192.70608
2010-12-31,42.0112,44.2379,41.7535,43.8563,128488660.89908
2011-01-31,43.9497,44.469,39.2858,39.992,230752428.46824
2011-02-28,39.8592,40.5016,36.469,38.3328,234831980.13752
2011-03-31,38.4311,38.6416,35.7609,36.4779,238203443.47984
2011-04-30,36.5202,37.2923,35.756,35.811,171191409.47058
2011-05-31,35.9861,38.018,35.3803,36.2999,219319910.35517
2011-06-30,36.3598,36.3746,33.4585,34.3849,210628716.64668
2011-07-31,34.4843,38.2088,34.3289,37.7368,190592107.02723
2011-08-31,37.8705,38.5412,33.188,38.1067,289709958.64805
2011-09-30,38.4616,39.3754,35.6674,36.1632,204641024.12123
2011-10-31,35.9026,41.301,35.1206,40.3775,174372080.0791
2011-11-30,39.2642,40.7868,37.6984,39.0842,191155332.41572
2011-12-31,39.1383,40.2743,37.9079,37.9895,135703649.85754
2012-01-31,38.4853,38.499,35.0469,37.6876,205932427.86447
